Sample_Name,Group,AKT1,ALDH1A1,ALDH3A1,ATF4,ATF6,ATM,BACH1,BAX,BBC3,BCL2L1,CDH1,CDH2,CHEK2,CMBL,DDB1,DDIT3,EIF2AK3,ERCC1,FDXR,FOS,FOSL1,GADD45A,GAMT,GCLC,GCLM,GSTP1,HEY1,HIF1A,HMGB1,JUN,KDM5B,A,B,C,D,E,KDM5C,MCL1,KRAS,KMT2D,KMT2A,KEAP1,NFE2L2,NANOG,PMAIP1,PHLDA3,PHB,PCNA,PARP1,SERPINE2,RIPK2,RB1,SOD2,SFN,SESN2,TDGF1,STAT1,TWIST2,TP53I3,ZEB1,WNT5A,PTAFR,SNAI1,STAT3,SRC,TWIST1,TP53,TIGAR
A_C44,Group1,14.4392601,11.24496817,11.65864246,12.6607718,16.04296654,16.5228858,,14.23845658,17.49447425,13.71128461,15.45346906,16.99662317,16.53165368,16.20739833,15.20713056,17.50595754,18.05933668,14.64623522,14.29987718,11.18835497,14.87751392,17.79243874,16.67621919,16.62791802,14.94790707,13.64264024,18.48748847,10.79280676,13.21404185,17.0559072,15.86747703,10.77820955,13.61499091,16.7363519,15.13437427,16.28565028,15.0090939,12.56252793,16.51719772,17.68603617,15.48262211,16.42561107,15.44707421,17.47102467,20.43309569,14.78947659,15.18431852,13.71179696,14.95405064,15.37182226,17.03108317,18.26160829,14.96886716,15.68066386,16.2967455,18.35009183,15.62971771,17.78667642,16.09968229,16.08374591,16.48993844,17.93266693,20.91655866,15.02453242,14.03114352,20.33949603,13.70861552,14.82198934
A_C05,Group1,14.20560662,10.62304387,15.21959821,12.15744108,15.60000071,16.30141389,16.48313089,12.98016229,17.25216083,14.12808175,16.30820302,15.84086518,15.29970683,15.1979635,14.66375936,15.63711389,16.88917755,15.0816111,13.49100323,10.75914256,13.58868171,17.1360903,15.88861426,15.69184051,13.2656885,12.74942693,18.23151031,10.03250591,12.2361983,15.8515837,17.78179609,10.71448015,13.38790091,18.14159682,14.87248578,14.81724351,14.79434055,12.38851081,14.35551431,17.28780053,16.04779727,16.67563059,13.99216248,16.22900832,19.42194401,13.38831771,13.77796165,13.2925114,14.72196051,16.48315118,15.19404143,17.84571433,15.39895283,15.44941181,14.6475924,18.50810092,15.051463,18.39216223,15.98316382,15.724016,15.16715486,18.7532538,18.37590314,13.59509062,15.21193752,,12.97305253,13.68638813
A_C43,Group1,15.56416035,11.36025416,15.29761086,13.10708723,15.81540115,15.51798397,16.22976892,13.67724498,18.04220844,15.50080911,,16.62361007,,15.62049859,15.17082861,15.52455186,17.46124809,15.85418295,16.00437421,13.6739198,16.55478108,17.49294944,17.1727402,17.09952701,16.05552635,13.20294485,19.05094939,12.42985701,12.52271025,16.72903748,17.52968038,10.16621722,14.12545229,17.39846053,16.69044639,15.46556545,16.29691968,13.57125268,15.57779509,16.65816193,16.43370936,16.94384918,14.4713827,15.99254409,19.88472772,14.96227188,14.21020636,15.75414343,14.40549441,19.92066672,16.47687937,19.10398488,16.01790398,19.81490964,19.64629577,17.18149141,17.98738288,16.87826279,15.19985597,17.66661762,15.64762021,18.73564412,,15.49276857,16.4997041,18.21126333,13.9192278,17.27425782
A_C06,Group1,14.46514437,9.936317683,13.88329727,12.02706377,14.94694462,15.8882079,16.17299973,14.5108432,18.22996921,13.04465852,18.49611192,15.74858286,14.79027028,16.46971047,14.51200497,14.86688669,16.03193395,13.72265219,16.7962411,12.41289967,14.74083037,17.18233934,16.21306685,15.34646232,12.88658863,11.46236696,18.98980584,10.21117578,12.20715907,18.16562495,15.90013176,9.706135008,13.38208147,17.36418935,14.25851206,14.72139093,15.36774344,12.53885384,14.70465416,15.38250442,15.51219964,16.27244913,14.01164469,16.020321,20.00960083,15.12980677,12.28937695,14.63313244,14.6499947,14.77391295,14.49702394,19.27793249,15.59430436,16.1123118,14.53330049,17.16517654,16.05188296,17.59243174,14.83344536,16.43651204,18.90183583,17.85404186,17.09232079,15.60391007,13.82718434,18.30611392,11.42851108,15.97635334
A_C88,Group1,14.33954928,12.114972,14.56027994,12.35764052,15.5875729,16.03561921,15.98123557,12.88101828,18.10910702,13.50068159,16.57654844,15.25775352,16.66311545,15.93459828,14.36969844,16.66422724,15.65348307,14.31256848,14.80167135,13.14600714,14.1560556,17.5012584,17.27650303,14.83711614,13.77561958,12.26066556,18.89033124,10.56932001,12.16392533,15.94813327,18.39093517,10.41464783,15.53255314,16.94205651,15.01606276,13.98199909,14.98879271,13.36064315,15.46089109,15.99139197,17.76954768,16.39362519,13.82400876,16.43731351,19.21389808,14.26727469,12.69615587,14.53070773,14.21443814,16.34497711,14.78478083,18.88840889,15.16334201,17.86541834,15.89117901,17.49828965,16.74952764,16.55644348,15.27655724,16.77826672,17.02564003,18.44098767,23.50680892,14.47010689,15.0743031,20.07517233,12.2957807,16.18503826
A_C57,Group1,13.81356906,10.59451814,13.14676135,11.59111369,15.23556706,16.07508083,18.08075367,11.86566216,15.78484803,12.28962946,16.11438893,19.4003015,15.86659497,14.74170321,14.12929429,14.54571226,16.55281817,13.02635608,11.87094914,15.23275848,13.40639797,14.18113064,16.62637887,14.64078623,11.84474201,10.99298921,17.69649564,10.59850231,10.57960146,18.47885959,15.64587864,9.353793809,13.479849,15.72235204,13.56181769,13.34058262,13.78592142,13.53425653,13.8454403,15.24200015,14.4863599,14.9436909,12.78612242,15.645146,20.68722955,12.29941243,12.7417864,11.15923662,13.56017099,15.70458106,13.7205493,17.41454138,14.32082394,14.81031923,14.28567023,15.90557062,14.79474033,18.01044654,13.2435658,15.30327115,15.7597504,16.82475595,17.38733854,14.31734247,12.44994706,19.33097196,11.16973469,13.67487967
A_C89,Group1,13.7500706,9.821587069,16.13849838,12.21174013,14.49840037,16.11632428,16.32196541,12.02055428,15.61693153,13.13852043,18.73423337,13.27028864,15.86269939,14.97551887,14.34446309,15.6529563,15.77443121,13.45542196,13.43018467,13.73676714,14.78563105,15.30863158,15.34138872,15.54336572,13.04433509,11.74427483,17.93494394,10.33084965,11.92567308,17.87671588,17.0975907,8.922380289,12.11467423,16.8498248,14.93999647,14.37419564,13.86465193,13.12545143,14.33011512,15.51211984,15.64262316,17.15092497,13.59335143,15.91512423,18.94256089,12.60330886,12.83513078,13.60486195,14.50635339,13.85081783,14.64909658,21.57634861,13.91301301,15.45231711,15.214985,17.12299005,14.43720595,16.89398791,14.49271673,15.80868249,15.60012548,17.9029186,16.77817258,14.17873506,14.97834611,16.91837329,11.38253793,12.93426947
A_C56,Group1,13.82444847,12.27745152,12.12310342,11.94906411,14.55322565,15.86674165,16.46083823,13.02321589,17.9645369,13.1561633,18.22370462,13.26808267,16.59710905,16.18501724,14.22985865,14.93048726,16.68331401,14.77132394,14.62404303,12.63254592,13.62262619,16.22673803,17.58287547,15.58323224,13.04623636,12.00891508,18.19893328,10.54824475,11.63043524,16.26079792,16.02297837,9.153664623,12.42792903,17.75990161,13.68160783,14.24511773,14.39590405,12.48574499,13.97408795,15.2895073,15.73820141,16.26538483,13.59316863,16.26875047,18.99281618,13.38521588,12.64701237,15.10600698,14.09784316,14.40544919,14.70087053,18.36061829,15.87897135,15.10563657,14.5343537,16.77407188,15.48217187,18.24587043,14.40717827,14.84927504,14.77446698,18.07991953,17.97390194,14.8593945,14.36818244,18.07144319,11.58051723,14.791597
A_C90,Group1,14.42345787,10.3765994,14.96876273,11.70766846,15.90232743,15.04154367,15.56519723,11.84057012,15.37619055,15.48726397,17.74569087,15.14976355,19.3209693,14.23372057,13.8380631,16.01856886,20.8694692,14.04623357,12.78140415,12.99832797,14.51828119,14.5829715,13.74756505,15.28119113,13.65025962,12.2825587,17.41348564,10.37941829,11.51462191,,16.33329066,10.49062548,12.88606354,17.54808147,14.78985697,13.60080662,14.13673055,14.08575511,15.40925298,15.42035415,14.04585279,15.79669938,13.97422333,14.77216622,19.48892318,13.91215488,12.99530108,12.1595904,14.89538972,14.79419325,15.17064719,18.02207443,15.67563533,15.75456379,15.19834234,16.12263541,15.85002865,17.85661582,14.2076939,17.06077884,16.85663274,17.11882524,17.56221559,14.00946228,15.64477626,18.44355546,12.86734572,14.09915105
A_C55,Group1,15.32823467,9.852173401,13.1844151,12.03117692,15.96078374,19.37933676,16.33320279,12.81174962,17.60151356,13.66063874,21.09073684,16.51782118,17.6400356,16.65746444,14.81317124,16.18149296,16.10442371,14.78723139,14.72480545,11.86685132,14.6763519,17.47386339,16.70353508,16.360123,14.30430681,12.46484096,18.17842137,11.52749702,11.80050921,17.92228518,17.80710399,9.620519644,13.00978675,18.59018314,14.35160288,14.69538354,15.29322021,13.56070306,15.60548055,15.42239595,15.65476308,17.1150342,14.29960745,15.96217056,19.99944961,14.04782167,12.81628933,14.74485114,14.05580486,17.82423331,15.21190087,17.69926378,15.29006246,15.59365929,14.77534925,18.85527647,17.24395572,18.27514949,16.44136497,15.32248659,16.28227493,17.43379221,17.64333302,14.64907416,15.05568115,18.46365356,11.98077478,15.1131625
